VendorNumber,VendorName,Brand,Description,Actual_Price,PurchasePrice,Volume,TotalsalesQuantity,TotalsalesDollers,TotalsalesPrice,TotalsalesExciseTax,TotalpurchaseQuantity,TotalPurchaseDollars,FreightCost,GrossProfit,StockturnOver,SalesPurchaseRate
480,"BACARDI USA INC",443,"St Germain Liqueur",33.99,24.45,750,7705,273863.94999999256,171470.84999999788,6070.719999999806,1427075,17624378.719999995,89286.26999999999,-17350514.770000003,0.005399155615507244,0.015538927887949552
4425,"MARTIGNETTI COMPANIES",450,"Vincent Van Gogh Double Esp",24.99,19.52,750,2075,51854.249999999905,37584.96000000053,1635.2999999999731,2640411,27861690.019999996,144929.24,-27809835.769999996,0.0007858625039813878,0.0018611308202329902
653,"STATE WINE & SPIRITS",463,"Kirk & Sweeney 12Yr Old Rum",33.99,24.63,750,2070,69477.29999999977,57706.809999999154,1632.7099999999652,154092,1529682.0400000003,8014.98,-1460204.7400000005,0.013433533213924148,0.04541943893124336
17035,"PERNOD RICARD USA",482,"Absolut 80 Proof",21.99,14.28,1000,27866,599601.3399999446,198436.0599999845,29259.299999998133,1647558,24124091.56,123780.21999999997,-23524490.220000055,0.016913516853427922,0.02485487747833538
3960,"DIAGEO NORTH AMERICA INC",485,"Seagrams 7 Crown",12.99,10.39,1000,1474,19147.25999999995,11872.859999999837,1547.6999999999812,5459788,50959796.849999994,257032.07000000007,-50940649.589999996,0.0002699738524646012,0.00037573265953865263
3960,"DIAGEO NORTH AMERICA INC",497,"Capt Morgan Spiced Rum",19.99,14.7,1000,29238,584467.6199999616,145247.34000000838,30699.899999998448,5459788,50959796.849999994,257032.07000000007,-50375329.230000034,0.0053551529839620145,0.01146919054093446
480,"BACARDI USA INC",508,"Bacardi Superior Rum",12.99,9.77,1000,38335,522309.14999996027,123060.880000018,40251.749999999665,1427075,17624378.719999995,89286.26999999999,-17102069.570000034,0.026862638613948112,0.029635606355147618
9165,"ULTRA BEVERAGE COMPANY LLP",513,"Ocean Vodka",28.99,23.01,750,2692,80679.08000000073,62792.06999999874,2122.4899999999566,1077527,13210613.930000002,68054.70000000003,-13129934.850000001,0.00249831326732416,0.006107140851099016
9165,"ULTRA BEVERAGE COMPANY LLP",515,"Hirsch Selection Bourbon",35.99,25.36,750,1427,52125.72999999989,41919.540000000095,1125.3899999999885,1077527,13210613.930000002,68054.70000000003,-13158488.200000001,0.0013243287639196047,0.003945746221651932
12546,"JIM BEAM BRANDS COMPANY",525,"El Tesoro Anejo Gold Tequil",39.99,31,750,512,20918.880000000056,15969.089999999927,403.7700000000017,2737165,24203151.05000001,123880.96999999999,-24182232.17000001,0.00018705485420133605,0.0008643039890460895
1392,"CONSTELLATION BRANDS INC",536,"Svedka Cherry Vodka",12.99,9.92,1000,243,3156.569999999991,2091.3900000000003,255.15000000000063,2325892,15573917.899999999,79528.99,-15570761.329999998,0.0001044760461792723,0.0002026831026250621
2555,"DISARONNO INTERNATIONAL LLC",538,"Amaretto DiSaronno",12.99,7.96,375,15596,208951.03999999628,116137.98000001609,6122.290000000394,103095,1141947.85,5861.030000000001,-932996.8100000038,0.15127794752412824,0.18297774281023102
8004,"SAZERAC CO INC",539,"Bowman's Vodka",5.79,4.2,1000,8154,47211.660000000265,4400.399999999977,8561.700000000024,1417727,9916770.259999998,50293.62000000002,-9869558.599999998,0.005751459907302322,0.0047607899308136515
9552,"M S WALKER INC",543,"Berkshire Mtn Ethereal Gin",31.99,22.72,750,59,1832.4100000000003,1652.4700000000003,46.58999999999997,1372841,10935817.3,55551.819999999985,-10933984.89,0.00004297657194096039,0.00016756040721345995
3664,"WILLIAM GRANT & SONS INC",555,"Art In The Age Sage",29.99,21.73,750,652,20027.480000000047,16053.769999999902,514.2400000000038,302685,5960744.350000001,30234.42000000001,-5940716.87,0.0021540545451542033,0.003359895815696247
3960,"DIAGEO NORTH AMERICA INC",567,"Ketel One Vodka",28.99,20.71,1000,10206,295871.9399999923,134252.69000000932,10716.299999999957,5459788,50959796.849999994,257032.07000000007,-50663924.910000004,0.0018693033502399728,0.005805987431050608
17035,"PERNOD RICARD USA",592,"The Glenlivet Archive 21 Yr",164.99,127.99,750,229,44197.710000000014,38218.02000000006,180.67999999999992,1647558,24124091.56,123780.21999999997,-24079893.849999998,0.00013899358930004286,0.0018320984187145083
3960,"DIAGEO NORTH AMERICA INC",597,"Baileys Irish Cream",27.99,21.53,1000,8747,244828.52999999802,134128.08000000968,9184.35000000032,5459788,50959796.849999994,257032.07000000007,-50714968.31999999,0.001602076857196653,0.004804346664109554
10754,"PERFECTA WINES",605,"Alate Kosher Wine",16.99,9.67,750,526,7967.739999999955,4539.009999999965,58.44999999999988,553116,5665501.530000001,28720.52,-5657533.790000001,0.0009509759254839853,0.0014063609298857525
9552,"M S WALKER INC",607,"Schmitt Sohne Funf Rsl",8.49,5.74,750,463,4538.369999999965,3405.529999999972,51.14999999999986,1372841,10935817.3,55551.819999999985,-10931278.930000002,0.0003372568272655027,0.00041500053224188056
12546,"JIM BEAM BRANDS COMPANY",649,"Sauza Tres Generaciones Pla",36.99,28.67,750,733,28283.67000000029,24483.660000000255,578.3300000000016,2737165,24203151.05000001,123880.96999999999,-24174867.380000006,0.00026779532837808463,0.0011685945330659861
3924,"HEAVEN HILL DISTILLERIES",653,"Dom de Canton Ginger Liqueur",29.99,21.73,750,3340,115161.6000000034,87453.76000000168,2632.929999999958,352348,2816661.9399999995,14069.869999999995,-2701500.339999996,0.00947926481773701,0.04088584375873074
12546,"JIM BEAM BRANDS COMPANY",661,"Red Stag by Jim Beam",16.99,9.99,750,5953,90718.47000000323,70366.85999999881,4693.619999999883,2737165,24203151.05000001,123880.96999999999,-24112432.580000006,0.0021748780216026436,0.003748209058093004
8112,"MOET HENNESSY USA INC",664,"Ardbeg Uigeadail Scotch",78.99,54.01,750,626,47357.73999999997,40119.700000000106,493.86000000000377,427867,9472995.2,48347.26,-9425637.459999999,0.0014630714684703424,0.0049992361444456315
12546,"JIM BEAM BRANDS COMPANY",676,"Pinnacle Whipped Vodka",10.99,8.65,750,13497,149096.0300000075,93977.82000000887,10632.060000000436,2737165,24203151.05000001,123880.96999999999,-24054055.02,0.004931014388975454,0.006160190864900108
9165,"ULTRA BEVERAGE COMPANY LLP",680,"Midnight Moon Strawberry",18.99,13.86,750,2562,51214.37999999955,44757.609999999935,2021.459999999945,1077527,13210613.930000002,68054.70000000003,-13159399.550000003,0.0023776666385157868,0.003876760025792348
9165,"ULTRA BEVERAGE COMPANY LLP",686,"Midnight Moon Cherry",18.99,14.95,750,1477,29525.230000000585,23828.080000000442,1165.199999999983,1077527,13210613.930000002,68054.70000000003,-13181088.700000001,0.001370731313461287,0.0022349627471098597
